FIT Profiler Report
Profile stats for: [LightningModule]LitLatentJacobianODE.configure_callbacks
         7 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 contextlib.py:145(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 profiler.py:57(profile)
        1    0.000    0.000    0.000    0.000 advanced.py:81(stop)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 module.py:970(configure_callbacks)



Profile stats for: [Callback]RichModelSummary.setup
         10 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 contextlib.py:145(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 profiler.py:57(profile)
        1    0.000    0.000    0.000    0.000 advanced.py:81(stop)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 trainer.py:1271(lightning_module)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 trainer.py:1218(strategy)
        1    0.000    0.000    0.000    0.000 strategy.py:361(lightning_module)
        1    0.000    0.000    0.000    0.000 callback.py:58(setup)



Profile stats for: [LightningModule]LitLatentJacobianODE.setup
         7 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 contextlib.py:145(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 profiler.py:57(profile)
        1    0.000    0.000    0.000    0.000 advanced.py:81(stop)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 hooks.py:421(setup)



Profile stats for: [LightningModule]LitLatentJacobianODE.configure_optimizers
         3748 function calls (2717 primitive calls) in 0.001 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 lightning_base.py:967(configure_optimizers)
        1    0.000    0.000    0.001    0.001 adamw.py:21(__init__)
        1    0.000    0.000    0.001    0.001 adam.py:35(__init__)
        1    0.000    0.000    0.001    0.001 optimizer.py:380(__init__)
      107    0.000    0.000    0.001    0.000 module.py:2666(parameters)
      107    0.000    0.000    0.001    0.000 module.py:2691(named_parameters)
      107    0.000    0.000    0.001    0.000 module.py:2646(_named_members)
 1181/152    0.000    0.000    0.000    0.000 module.py:2837(named_modules)
        1    0.000    0.000    0.000    0.000 _compile.py:42(inner)
        1    0.000    0.000    0.000    0.000 eval_frame.py:1240(_fn)
        1    0.000    0.000    0.000    0.000 optimizer.py:1106(add_param_group)
      424    0.000    0.000    0.000    0.000 _tensor.py:1225(__hash__)
      257    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:1389(__init__)
        2    0.000    0.000    0.000    0.000 dictconfig.py:361(__getitem__)
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:119(__init__)
        2    0.000    0.000    0.000    0.000 dictconfig.py:438(_get_impl)
  269/267    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 dictconfig.py:519(keys)
      151    0.000    0.000    0.000    0.000 module.py:2716(<lambda>)
        2    0.000    0.000    0.000    0.000 basecontainer.py:86(_resolve_with_default)
        1    0.000    0.000    0.000    0.000 contextlib.py:145(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 profiler.py:57(profile)
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:176(_initial_step)
        1    0.000    0.000    0.000    0.000 advanced.py:81(stop)
        5    0.000    0.000    0.000    0.000 _utils.py:508(_is_missing_value)
      424    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      303    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 basecontainer.py:64(_get_child)
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:153(patch_track_step_called)
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:238(step)
        2    0.000    0.000    0.000    0.000 dictconfig.py:455(_get_node)
        1    0.000    0.000    0.000    0.000 base.py:298(_is_missing)
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:158(wrap_step)
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:284(_update_lr)
        2    0.000    0.000    0.000    0.000 _utils.py:746(_get_value)
        2    0.000    0.000    0.000    0.000 base.py:706(_maybe_resolve_interpolation)
        2    0.000    0.000    0.000    0.000 dictconfig.py:149(_validate_get)
